"state_fips","state_name","county_fips","crime_count","county_pop","st","state","st_abbr","stcnty","county","location","area_sqmi","e_totpop","m_totpop","e_hu","m_hu","e_hh","m_hh","e_pov150","m_pov150","e_unemp","m_unemp","e_hburd","m_hburd","e_nohsdp","m_nohsdp","e_uninsur","m_uninsur","e_age65","m_age65","e_age17","m_age17","e_disabl","m_disabl","e_sngpnt","m_sngpnt","e_limeng","m_limeng","e_minrty","m_minrty","e_munit","m_munit","e_mobile","m_mobile","e_crowd","m_crowd","e_noveh","m_noveh","e_groupq","m_groupq","ep_pov150","mp_pov150","ep_unemp","mp_unemp","ep_hburd","mp_hburd","ep_nohsdp","mp_nohsdp","ep_uninsur","mp_uninsur","ep_age65","mp_age65","ep_age17","mp_age17","ep_disabl","mp_disabl","ep_sngpnt","mp_sngpnt","ep_limeng","mp_limeng","ep_minrty","mp_minrty","ep_munit","mp_munit","ep_mobile","mp_mobile","ep_crowd","mp_crowd","ep_noveh","mp_noveh","ep_groupq","mp_groupq","epl_pov150","epl_unemp","epl_hburd","epl_nohsdp","epl_uninsur","spl_theme1","rpl_theme1","epl_age65","epl_age17","epl_disabl","epl_sngpnt","epl_limeng","spl_theme2","rpl_theme2","epl_minrty","spl_theme3","rpl_theme3","epl_munit","epl_mobile","epl_crowd","epl_noveh","epl_groupq","spl_theme4","rpl_theme4","spl_themes","rpl_themes","f_pov150","f_unemp","f_hburd","f_nohsdp","f_uninsur","f_theme1","f_age65","f_age17","f_disabl","f_sngpnt","f_limeng","f_theme2","f_minrty","f_theme3","f_munit","f_mobile","f_crowd","f_noveh","f_groupq","f_theme4","f_total","e_daypop","e_noint","m_noint","e_afam","m_afam","e_hisp","m_hisp","e_asian","m_asian","e_aian","m_aian","e_nhpi","m_nhpi","e_twomore","m_twomore","e_otherrace","m_otherrace","ep_noint","mp_noint","ep_afam","mp_afam","ep_hisp","mp_hisp","ep_asian","mp_asian","ep_aian","mp_aian","ep_nhpi","mp_nhpi","ep_twomore","mp_twomore","ep_otherrace","mp_otherrace","pr_female_hh","pr_pov","pr_pubassi","pr_unemprate","pr_hs_or_low","pr_std_income","crime_rate","disad_national_v1","disad_national_v2","disad_national_v3","svi_theme1_pca","svi_theme2_pca","svi_theme3_z","svi_theme4_pca","svi_overall_pca"
1,"Alabama",1073,351,99830,1,"Alabama","AL",1073,"Jefferson","Jefferson County, Alabama",1111.53056973048,658615,265,308825,362,263801,1463,160580,5103,20151,1452,74217,2309,42690,1757,58699,2223,104327,40,150353,144,100582,2962,21042,1112,7013,837,331997,2012,43082,1709,8567,668,3696,555,20500,1219,15616,775,24.9,0.8,6.3,0.4,28.1,0.9,9.5,0.4,9,0.3,15.8,0.1,22.8,0,15.4,0.5,8,0.4,1.1,0.1,50.4,0.3,14,0.6,2.8,0.2,1.4,0.2,7.8,0.5,2.4,0.1,0.556,0.7419,0.8612,0.3647,0.5388,3.0626,0.6862,0.219,0.5974,0.485,0.8415,0.6104,2.7533,0.6903,0.8787,0.8787,0.8787,0.9335,0.1187,0.3183,0.7836,0.5805,2.7346,0.6267,9.4292,0.7562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,722447,84328,3952,281862,1274,25757,3,10330,504,710,220,187,42,11625,1379,1526,470,13.1,0,42.8,0.2,3.9,0.1,1.6,0.1,0.1,0.1,0,0.1,1.8,0.2,0.2,0.1,0.230733477878367,0.305701746544877,0.0229813869118541,0.0552272128681025,0.472232877280845,1.08578323616998,3.515977161174,1.21951690768168,1.22554629945962,1.37697228484662,-0.374787728517358,-0.360035198476182,-0.369764559030549,-0.427178281043466,-0.386161577980904
4,"Arizona",4013,703,2218264,4,"Arizona","AZ",4013,"Maricopa","Maricopa County, Arizona",9201.78777875615,4412779,0,1765880,1068,1596784,3938,905392,13541,114356,3491,446819,6207,342904,5371,478064,8711,671096,0,1051018,0,501100,5362,105772,2895,186320,5179,2005381,7185,264591,4564,90970,2254,70899,2876,88629,1996,55404,2371,20.8,0.3,5.1,0.2,28,0.4,11.6,0.2,10.9,0.2,15.2,0,23.8,0,11.4,0.1,6.6,0.2,4.5,0.1,45.4,0.2,15,0.3,5.2,0.1,4.4,0.2,5.6,0.1,1.3,0.1,0.3612,0.5385,0.8587,0.5296,0.6785,2.9665,0.6534,0.177,0.7282,0.1404,0.6728,0.9118,2.6302,0.6152,0.8469,0.8469,0.8469,0.9443,0.2578,0.8969,0.5054,0.2686,2.873,0.6989,9.3166,0.7397,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,2,4567076,429520,11368,236764,3239,1374312,0,183082,2507,67940,1867,8904,430,121041,4971,13338,2544,9.9,0,5.4,0.1,31.1,0,4.1,0.1,1.5,0.1,0.2,0.1,2.7,0.1,0.3,0.1,0.146525608547566,0.158206921555091,0.0187216272584065,0.0347518390448416,0.3850187180999,0.0851605629868366,0.316914488086179,-0.600678254155918,-0.457803823144452,-0.434337755178647,1.94348202051144,2.3191648982342,1.39694327567732,1.79383659905786,2.06083596342295
4,"Arizona",4019,182,416884,4,"Arizona","AZ",4019,"Pima","Pima County, Arizona",9188.68616144336,1038476,0,463236,469,410942,1914,261113,6288,33203,1946,121336,2935,76781,1867,90650,3094,205320,70,216362,0,154319,3468,26700,1341,36715,1784,507332,2360,61993,1958,48110,1417,14710,1187,31233,1496,30336,1478,25.9,0.6,6.8,0.4,29.5,0.7,11,0.3,8.9,0.3,19.8,0.1,20.8,0,15.2,0.3,6.5,0.3,3.7,0.2,48.9,0.2,13.4,0.4,10.4,0.3,3.6,0.3,7.6,0.4,2.9,0.1,0.6088,0.7992,0.9083,0.486,0.5296,3.3319,0.7728,0.5894,0.3186,0.4621,0.6537,0.887,2.9108,0.7817,0.8711,0.8711,0.8711,0.9271,0.5,0.8402,0.7673,0.6585,3.6931,0.9764,10.8069,0.9118,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,977545,89141,3813,33644,1042,389875,0,28911,811,24477,908,1495,193,27229,1664,1701,446,8.8,0,3.2,0.1,37.5,0,2.8,0.1,2.4,0.1,0.1,0.1,2.6,0.2,0.2,0.1,0.146142143032457,0.224633175105047,0.0205031290864242,0.0452034418008605,0.372361931932933,0.748540893711168,0.436572283896719,-0.0136129983324122,-0.0278147876227757,0.195952273056111,-0.102692713256898,-0.041128137776305,-0.184651208957581,0.253052536315278,0.018157618952125
6,"California",6001,463,363643,6,"California","CA",6001,"Alameda","Alameda County, California",737.461520028006,1661584,0,605767,422,573174,1395,233543,5366,43126,1796,147454,2797,132307,2763,70389,2810,231186,0,341591,0,151635,3012,29079,1353,119494,3061,1153001,4270,135019,2273,7291,571,45236,1588,53539,1379,31878,1199,14.3,0.3,4.7,0.2,25.7,0.5,11.2,0.2,4.3,0.2,13.9,0,20.6,0,9.2,0.2,5.1,0.2,7.6,0.2,69.4,0.3,22.3,0.4,1.2,0.1,7.9,0.3,9.3,0.2,1.9,0.1,0.0945,0.4561,0.7581,0.4997,0.0974,1.9058,0.3001,0.1123,0.3011,0.0385,0.3905,0.9621,1.8045,0.1184,0.9621,0.9621,0.9621,0.9815,0.0436,0.9733,0.8816,0.478,3.358,0.9109,8.0304,0.515,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,2,4,1715160,110366,4585,167316,1387,369546,0,515105,2453,4942,249,12924,533,76404,3004,6764,961,6.8,0,10.1,0.1,22.2,0,31,0.1,0.3,0.1,0.8,0.1,4.6,0.2,0.4,0.1,0.143816725206109,0.158048314401225,0.0461997220216157,0.0415611014757835,0.336509904983041,-0.251297265710755,1.27322676361156,-0.130049616357418,-0.217442170909334,-0.386720320907421,0.00274423816863016,0.193271197730005,0.497026445978759,0.241757088665355,0.165371978050463
6,"California",6019,173,311122,6,"California","CA",6019,"Fresno","Fresno County, California",5958.37984491978,990204,0,333357,328,310097,1237,316814,7716,39697,2052,110585,2808,138814,2658,76302,3248,121129,59,281391,0,127456,2547,27574,1225,99823,3270,706035,2626,28072,1469,12429,899,29905,1591,24446,1188,16855,867,32.6,0.8,8.9,0.4,35.7,0.9,22.7,0.4,7.8,0.3,12.2,0.1,28.4,0,13,0.3,8.9,0.4,10.9,0.4,71.3,0.3,8.4,0.4,3.7,0.3,9.6,0.5,7.9,0.4,1.7,0.1,0.8339,0.9249,0.9895,0.9443,0.4398,4.1324,0.9596,0.0503,0.9564,0.2524,0.8978,0.9806,3.1375,0.8848,0.9679,0.9679,0.9679,0.8355,0.1684,0.9847,0.7922,0.4198,3.2006,0.8561,11.4384,0.9609,0,1,1,1,0,3,0,1,0,0,1,2,1,1,0,0,1,0,0,1,7,1028337,134740,4571,43660,1101,528293,0,102986,1291,4459,483,1305,188,23353,1829,1979,636,13.8,0,4.4,0.1,53.4,0,10.4,0.1,0.5,0.1,0.1,0.1,2.4,0.2,0.2,0.1,0.208484802262319,0.273380495316203,0.0954634973733412,0.0618573962783878,0.467547535597981,0.57016417614003,0.556051966752592,1.92261806346576,1.73472888755459,1.55115687637753,0.00993309126143094,-0.0454145119025321,0.0251333634298424,-0.230852776281906,-0.0600973854900093
6,"California",6029,101,238020,6,"California","CA",6029,"Kern","Kern County, California",8134.64181733248,892458,0,299179,427,273556,1327,290989,6988,34847,1657,95873,2541,134122,2991,66775,2978,97864,59,258159,0,98426,2829,23417,1419,82813,2881,595953,2670,16844,1024,22085,1121,25164,1287,17920,1162,30505,1341,33.8,0.8,9.1,0.4,35,0.9,24.7,0.5,7.7,0.3,11,0.1,28.9,0,11.4,0.3,8.6,0.5,10.1,0.3,66.8,0.3,5.6,0.3,7.4,0.4,9.2,0.5,6.6,0.4,3.4,0.2,0.8612,0.9322,0.986,0.9628,0.4309,4.1731,0.9621,0.0245,0.9637,0.1404,0.8826,0.9771,2.9883,0.8221,0.9526,0.9526,0.9526,0.7285,0.3692,0.9825,0.6556,0.7116,3.4474,0.9332,11.5614,0.9694,0,1,1,1,0,3,0,1,0,0,1,2,1,1,0,0,1,0,0,1,7,902998,117131,5419,45312,1039,480700,0,41599,1214,4149,529,1011,125,21158,1697,2024,1185,13.6,0,5.1,0.1,53.9,0,4.7,0.1,0.5,0.1,0.1,0.1,2.4,0.2,0.2,0.1,0.186523625484706,0.213372382233296,0.0563626715502046,0.0552649905532569,0.476579150268967,0.234027096564146,0.424334089572305,0.881405932365761,0.935917465656005,0.764497260659534,-0.0670075373557823,-0.182375090393072,-0.0910878576767961,-0.0427654880079606,-0.0919544799337078
6,"California",6037,684,4044786,6,"California","CA",6037,"Los Angeles","Los Angeles County, California",4059.2799403061,10040682,0,3559790,989,3332504,5051,2341181,18894,338720,5407,1227349,8610,1395909,8478,914046,10227,1370141,0,2178559,0,1005489,6770,207101,3165,1215442,9831,7437402,8872,971970,6292,56891,1587,374206,4322,293326,3739,182563,3465,23.7,0.2,6.5,0.1,36.8,0.3,20.2,0.1,9.2,0.1,13.6,0,21.7,0,10.1,0.1,6.2,0.1,12.9,0.1,74.1,0.1,27.3,0.2,1.6,0.1,11.2,0.1,8.8,0.1,1.8,0,0.4968,0.7689,0.992,0.8947,0.5525,3.7049,0.874,0.0961,0.4398,0.0691,0.6108,0.9885,2.2043,0.3215,0.9736,0.9736,0.9736,0.9898,0.0659,0.993,0.8536,0.4462,3.3485,0.9074,10.2313,0.8584,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,2,5,9991605,1033981,16698,779166,3477,4851344,0,1467279,4964,19915,992,21996,827,259209,5627,38493,2942,10.5,0,7.8,0.1,48.3,0,14.6,0.1,0.2,0.1,0.2,0.1,2.6,0.1,0.4,0.1,0.150819004713374,0.174158793155272,0.0445092299191461,0.0453659952785409,0.41312135046215,0.00390064480930677,0.169106597975764,0.0690560967769682,0.12993140847455,0.00678388039025268,6.81973766367922,6.67326427396965,7.13190551924941,6.51823781818025,6.84688049733921
6,"California",6059,71,690781,6,"California","CA",6059,"Orange","Orange County, California",792.840952285266,3170345,0,1101244,541,1040001,2374,528549,11538,83099,2531,301820,4402,304692,4250,225042,5776,468842,0,697715,0,279176,4186,52985,1913,279331,4598,1907705,4843,212164,3829,29762,1077,91873,2529,46302,1832,43652,1346,16.9,0.4,5,0.2,29,0.4,14,0.2,7.1,0.2,14.8,0,22,0,8.9,0.1,5.1,0.2,9.4,0.2,60.2,0.2,19.3,0.3,2.7,0.1,8.8,0.2,4.5,0.2,1.4,0,0.177,0.5172,0.8943,0.6661,0.3752,2.6298,0.5391,0.1556,0.4806,0.0318,0.3905,0.9749,2.0334,0.2218,0.9239,0.9239,0.9239,0.9729,0.1114,0.9806,0.3246,0.3157,2.7052,0.6085,8.2923,0.5621,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,2,4,3408183,195237,7388,49452,1079,1071393,0,661083,3003,5306,631,8394,557,103917,3393,8160,1029,6.2,0,1.6,0.1,33.8,0,20.9,0.1,0.2,0.1,0.3,0.1,3.3,0.1,0.3,0.1,0.146624533268193,0.132529637827947,0.0303816452555231,0.0357721200525086,0.411835239680261,-0.513127351749577,0.102782213176101,-0.556621089004643,-0.362409266260561,-0.607250893439838,0.994030357727817,1.27104404879853,1.29381993132663,1.00634875210094,1.14706559446579
6,"California",6065,38,251435,6,"California","CA",6065,"Riverside","Riverside County, California",7209.26610603493,2437864,0,845066,1119,736413,2254,518929,9541,82367,2997,248913,4008,273740,4665,204878,5732,352375,0,613823,0,280243,4173,45018,1736,182640,4325,1600017,4739,64822,1994,72363,1781,52030,1765,29230,1183,37959,3580,21.6,0.4,7.3,0.3,33.8,0.5,17.2,0.3,8.5,0.2,14.5,0,25.2,0,11.6,0.2,6.1,0.2,8,0.2,65.6,0.2,7.7,0.2,8.6,0.2,7.1,0.2,4,0.2,1.6,0.1,0.4026,0.8383,0.978,0.8027,0.4994,3.521,0.8304,0.1426,0.8555,0.1521,0.591,0.9647,2.7059,0.6633,0.9468,0.9468,0.9468,0.8144,0.4201,0.9675,0.2397,0.3873,2.829,0.6747,10.0027,0.8297,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,1,4,2229551,195710,7592,148003,2406,1204521,0,159004,2020,9079,679,6687,540,66458,3294,6265,994,8.2,0,6.1,0.1,49.4,0,6.5,0.1,0.4,0.1,0.3,0.1,2.7,0.1,0.3,0.1,0.157945224088825,0.160344962606254,0.0380666226030995,0.0433243113689613,0.476609843963611,-0.0603989755794598,0.151132499453139,-0.0711372018628602,0.180015881636211,0.0241386331477619,0.851809915930705,0.905374625444409,0.968972317004041,0.808902647239215,0.917348470284978
6,"California",6067,142,411126,6,"California","CA",6067,"Sacramento","Sacramento County, California",965.270605470636,1537948,0,572916,455,547519,1431,341697,6428,48974,2233,183390,3264,125811,3296,83134,2712,216519,0,363852,0,182571,3535,39843,1691,89534,2689,865983,4865,74537,2236,13609,793,28745,1298,34601,1161,23821,1194,22.5,0.4,6.4,0.3,33.5,0.6,12.1,0.3,5.5,0.2,14.1,0,23.7,0,12,0.2,7.3,0.3,6.2,0.2,56.3,0.3,13,0.4,2.4,0.1,5.3,0.2,6.3,0.2,1.5,0.1,0.4433,0.7549,0.9739,0.5624,0.2139,2.9484,0.648,0.1235,0.7136,0.1792,0.767,0.9475,2.7308,0.6795,0.9064,0.9064,0.9064,0.9217,0.0961,0.9351,0.6085,0.3517,2.9131,0.7199,9.4987,0.7673,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,2,5,1598380,107068,4842,142796,2308,360204,0,252232,2380,4823,526,16535,574,83950,3260,5443,1204,7.1,0,9.3,0.2,23.4,0,16.4,0.2,0.3,0.1,1.1,0.1,5.5,0.2,0.4,0.1,0.146829382708447,0.171794690570939,0.0515812205985443,0.0444395069358277,0.32985751563915,0.090732489494411,0.345392896581583,0.0885381145860914,-0.0620937188245164,-0.120600205575294,0.158071330609696,0.273104484103494,0.19400158778591,-0.0411858351017839,0.160027300758042
